national_id,species,generation,category,planned_phase,primary_method,alternate_method,requires_trade,requires_version_exclusive,requires_external_game,proof_scenario,status
001,BULBASAUR,1,starter,pending,pending,pending,false,false,false,pending,pending
002,IVYSAUR,1,species,pending,pending,pending,false,false,false,pending,pending
003,VENUSAUR,1,species,pending,pending,pending,false,false,false,pending,pending
004,CHARMANDER,1,starter,pending,pending,pending,false,false,false,pending,pending
005,CHARMELEON,1,species,pending,pending,pending,false,false,false,pending,pending
006,CHARIZARD,1,species,pending,pending,pending,false,false,false,pending,pending
007,SQUIRTLE,1,starter,pending,pending,pending,false,false,false,pending,pending
008,WARTORTLE,1,species,pending,pending,pending,false,false,false,pending,pending
009,BLASTOISE,1,species,pending,pending,pending,false,false,false,pending,pending
010,CATERPIE,1,species,pending,pending,pending,false,false,false,pending,pending
011,METAPOD,1,species,pending,pending,pending,false,false,false,pending,pending
012,BUTTERFREE,1,species,pending,pending,pending,false,false,false,pending,pending
013,WEEDLE,1,species,pending,pending,pending,false,false,false,pending,pending
014,KAKUNA,1,species,pending,pending,pending,false,false,false,pending,pending
015,BEEDRILL,1,species,pending,pending,pending,false,false,false,pending,pending
016,PIDGEY,1,species,pending,pending,pending,false,false,false,pending,pending
017,PIDGEOTTO,1,species,pending,pending,pending,false,false,false,pending,pending
018,PIDGEOT,1,species,pending,pending,pending,false,false,false,pending,pending
019,RATTATA,1,species,pending,pending,pending,false,false,false,pending,pending
020,RATICATE,1,species,pending,pending,pending,false,false,false,pending,pending
021,SPEAROW,1,species,pending,pending,pending,false,false,false,pending,pending
022,FEAROW,1,species,pending,pending,pending,false,false,false,pending,pending
023,EKANS,1,species,pending,pending,pending,false,false,false,pending,pending
024,ARBOK,1,species,pending,pending,pending,false,false,false,pending,pending
025,PIKACHU,1,species,pending,pending,pending,false,false,false,pending,pending
026,RAICHU,1,species,pending,pending,pending,false,false,false,pending,pending
027,SANDSHREW,1,species,pending,pending,pending,false,false,false,pending,pending
028,SANDSLASH,1,species,pending,pending,pending,false,false,false,pending,pending
029,NIDORAN_F,1,species,pending,pending,pending,false,false,false,pending,pending
030,NIDORINA,1,species,pending,pending,pending,false,false,false,pending,pending
031,NIDOQUEEN,1,species,pending,pending,pending,false,false,false,pending,pending
032,NIDORAN_M,1,species,pending,pending,pending,false,false,false,pending,pending
033,NIDORINO,1,species,pending,pending,pending,false,false,false,pending,pending
034,NIDOKING,1,species,pending,pending,pending,false,false,false,pending,pending
035,CLEFAIRY,1,species,pending,pending,pending,false,false,false,pending,pending
036,CLEFABLE,1,species,pending,pending,pending,false,false,false,pending,pending
037,VULPIX,1,species,pending,pending,pending,false,false,false,pending,pending
038,NINETALES,1,species,pending,pending,pending,false,false,false,pending,pending
039,JIGGLYPUFF,1,species,pending,pending,pending,false,false,false,pending,pending
040,WIGGLYTUFF,1,species,pending,pending,pending,false,false,false,pending,pending
041,ZUBAT,1,species,pending,pending,pending,false,false,false,pending,pending
042,GOLBAT,1,species,pending,pending,pending,false,false,false,pending,pending
043,ODDISH,1,species,pending,pending,pending,false,false,false,pending,pending
044,GLOOM,1,species,pending,pending,pending,false,false,false,pending,pending
045,VILEPLUME,1,species,pending,pending,pending,false,false,false,pending,pending
046,PARAS,1,species,pending,pending,pending,false,false,false,pending,pending
047,PARASECT,1,species,pending,pending,pending,false,false,false,pending,pending
048,VENONAT,1,species,pending,pending,pending,false,false,false,pending,pending
049,VENOMOTH,1,species,pending,pending,pending,false,false,false,pending,pending
050,DIGLETT,1,species,pending,pending,pending,false,false,false,pending,pending
051,DUGTRIO,1,species,pending,pending,pending,false,false,false,pending,pending
052,MEOWTH,1,species,pending,pending,pending,false,false,false,pending,pending
053,PERSIAN,1,species,pending,pending,pending,false,false,false,pending,pending
054,PSYDUCK,1,species,pending,pending,pending,false,false,false,pending,pending
055,GOLDUCK,1,species,pending,pending,pending,false,false,false,pending,pending
056,MANKEY,1,species,pending,pending,pending,false,false,false,pending,pending
057,PRIMEAPE,1,species,pending,pending,pending,false,false,false,pending,pending
058,GROWLITHE,1,species,pending,pending,pending,false,false,false,pending,pending
059,ARCANINE,1,species,pending,pending,pending,false,false,false,pending,pending
060,POLIWAG,1,species,pending,pending,pending,false,false,false,pending,pending
061,POLIWHIRL,1,species,pending,pending,pending,false,false,false,pending,pending
062,POLIWRATH,1,species,pending,pending,pending,false,false,false,pending,pending
063,ABRA,1,species,pending,pending,pending,false,false,false,pending,pending
064,KADABRA,1,species,pending,pending,pending,false,false,false,pending,pending
065,ALAKAZAM,1,species,pending,pending,pending,false,false,false,pending,pending
066,MACHOP,1,species,pending,pending,pending,false,false,false,pending,pending
067,MACHOKE,1,species,pending,pending,pending,false,false,false,pending,pending
068,MACHAMP,1,species,pending,pending,pending,false,false,false,pending,pending
069,BELLSPROUT,1,species,pending,pending,pending,false,false,false,pending,pending
070,WEEPINBELL,1,species,pending,pending,pending,false,false,false,pending,pending
071,VICTREEBEL,1,species,pending,pending,pending,false,false,false,pending,pending
072,TENTACOOL,1,species,pending,pending,pending,false,false,false,pending,pending
073,TENTACRUEL,1,species,pending,pending,pending,false,false,false,pending,pending
074,GEODUDE,1,species,pending,pending,pending,false,false,false,pending,pending
075,GRAVELER,1,species,pending,pending,pending,false,false,false,pending,pending
076,GOLEM,1,species,pending,pending,pending,false,false,false,pending,pending
077,PONYTA,1,species,pending,pending,pending,false,false,false,pending,pending
078,RAPIDASH,1,species,pending,pending,pending,false,false,false,pending,pending
079,SLOWPOKE,1,species,pending,pending,pending,false,false,false,pending,pending
080,SLOWBRO,1,species,pending,pending,pending,false,false,false,pending,pending
081,MAGNEMITE,1,species,pending,pending,pending,false,false,false,pending,pending
082,MAGNETON,1,species,pending,pending,pending,false,false,false,pending,pending
083,FARFETCHD,1,species,pending,pending,pending,false,false,false,pending,pending
084,DODUO,1,species,pending,pending,pending,false,false,false,pending,pending
085,DODRIO,1,species,pending,pending,pending,false,false,false,pending,pending
086,SEEL,1,species,pending,pending,pending,false,false,false,pending,pending
087,DEWGONG,1,species,pending,pending,pending,false,false,false,pending,pending
088,GRIMER,1,species,pending,pending,pending,false,false,false,pending,pending
089,MUK,1,species,pending,pending,pending,false,false,false,pending,pending
090,SHELLDER,1,species,pending,pending,pending,false,false,false,pending,pending
091,CLOYSTER,1,species,pending,pending,pending,false,false,false,pending,pending
092,GASTLY,1,species,pending,pending,pending,false,false,false,pending,pending
093,HAUNTER,1,species,pending,pending,pending,false,false,false,pending,pending
094,GENGAR,1,species,pending,pending,pending,false,false,false,pending,pending
095,ONIX,1,species,pending,pending,pending,false,false,false,pending,pending
096,DROWZEE,1,species,pending,pending,pending,false,false,false,pending,pending
097,HYPNO,1,species,pending,pending,pending,false,false,false,pending,pending
098,KRABBY,1,species,pending,pending,pending,false,false,false,pending,pending
099,KINGLER,1,species,pending,pending,pending,false,false,false,pending,pending
100,VOLTORB,1,species,pending,pending,pending,false,false,false,pending,pending
101,ELECTRODE,1,species,pending,pending,pending,false,false,false,pending,pending
102,EXEGGCUTE,1,species,pending,pending,pending,false,false,false,pending,pending
103,EXEGGUTOR,1,species,pending,pending,pending,false,false,false,pending,pending
104,CUBONE,1,species,pending,pending,pending,false,false,false,pending,pending
105,MAROWAK,1,species,pending,pending,pending,false,false,false,pending,pending
106,HITMONLEE,1,species,pending,pending,pending,false,false,false,pending,pending
107,HITMONCHAN,1,species,pending,pending,pending,false,false,false,pending,pending
108,LICKITUNG,1,species,pending,pending,pending,false,false,false,pending,pending
109,KOFFING,1,species,pending,pending,pending,false,false,false,pending,pending
110,WEEZING,1,species,pending,pending,pending,false,false,false,pending,pending
111,RHYHORN,1,species,pending,pending,pending,false,false,false,pending,pending
112,RHYDON,1,species,pending,pending,pending,false,false,false,pending,pending
113,CHANSEY,1,species,pending,pending,pending,false,false,false,pending,pending
114,TANGELA,1,species,pending,pending,pending,false,false,false,pending,pending
115,KANGASKHAN,1,species,pending,pending,pending,false,false,false,pending,pending
116,HORSEA,1,species,pending,pending,pending,false,false,false,pending,pending
117,SEADRA,1,species,pending,pending,pending,false,false,false,pending,pending
118,GOLDEEN,1,species,pending,pending,pending,false,false,false,pending,pending
119,SEAKING,1,species,pending,pending,pending,false,false,false,pending,pending
120,STARYU,1,species,pending,pending,pending,false,false,false,pending,pending
121,STARMIE,1,species,pending,pending,pending,false,false,false,pending,pending
122,MR_MIME,1,species,pending,pending,pending,false,false,false,pending,pending
123,SCYTHER,1,species,pending,pending,pending,false,false,false,pending,pending
124,JYNX,1,species,pending,pending,pending,false,false,false,pending,pending
125,ELECTABUZZ,1,species,pending,pending,pending,false,false,false,pending,pending
126,MAGMAR,1,species,pending,pending,pending,false,false,false,pending,pending
127,PINSIR,1,species,pending,pending,pending,false,false,false,pending,pending
128,TAUROS,1,species,pending,pending,pending,false,false,false,pending,pending
129,MAGIKARP,1,species,pending,pending,pending,false,false,false,pending,pending
130,GYARADOS,1,species,pending,pending,pending,false,false,false,pending,pending
131,LAPRAS,1,species,pending,pending,pending,false,false,false,pending,pending
132,DITTO,1,species,pending,pending,pending,false,false,false,pending,pending
133,EEVEE,1,species,pending,pending,pending,false,false,false,pending,pending
134,VAPOREON,1,species,pending,pending,pending,false,false,false,pending,pending
135,JOLTEON,1,species,pending,pending,pending,false,false,false,pending,pending
136,FLAREON,1,species,pending,pending,pending,false,false,false,pending,pending
137,PORYGON,1,species,pending,pending,pending,false,false,false,pending,pending
138,OMANYTE,1,species,pending,pending,pending,false,false,false,pending,pending
139,OMASTAR,1,species,pending,pending,pending,false,false,false,pending,pending
140,KABUTO,1,species,pending,pending,pending,false,false,false,pending,pending
141,KABUTOPS,1,species,pending,pending,pending,false,false,false,pending,pending
142,AERODACTYL,1,species,pending,pending,pending,false,false,false,pending,pending
143,SNORLAX,1,species,pending,pending,pending,false,false,false,pending,pending
144,ARTICUNO,1,legendary,pending,pending,pending,false,false,false,pending,pending
145,ZAPDOS,1,legendary,pending,pending,pending,false,false,false,pending,pending
146,MOLTRES,1,legendary,pending,pending,pending,false,false,false,pending,pending
147,DRATINI,1,species,pending,pending,pending,false,false,false,pending,pending
148,DRAGONAIR,1,species,pending,pending,pending,false,false,false,pending,pending
149,DRAGONITE,1,species,pending,pending,pending,false,false,false,pending,pending
150,MEWTWO,1,legendary,pending,pending,pending,false,false,false,pending,pending
151,MEW,1,mythical,pending,pending,pending,false,false,false,pending,pending
152,CHIKORITA,2,starter,pending,pending,pending,false,false,false,pending,pending
153,BAYLEEF,2,species,pending,pending,pending,false,false,false,pending,pending
154,MEGANIUM,2,species,pending,pending,pending,false,false,false,pending,pending
155,CYNDAQUIL,2,starter,pending,pending,pending,false,false,false,pending,pending
156,QUILAVA,2,species,pending,pending,pending,false,false,false,pending,pending
157,TYPHLOSION,2,species,pending,pending,pending,false,false,false,pending,pending
158,TOTODILE,2,starter,pending,pending,pending,false,false,false,pending,pending
159,CROCONAW,2,species,pending,pending,pending,false,false,false,pending,pending
160,FERALIGATR,2,species,pending,pending,pending,false,false,false,pending,pending
161,SENTRET,2,species,pending,pending,pending,false,false,false,pending,pending
162,FURRET,2,species,pending,pending,pending,false,false,false,pending,pending
163,HOOTHOOT,2,species,pending,pending,pending,false,false,false,pending,pending
164,NOCTOWL,2,species,pending,pending,pending,false,false,false,pending,pending
165,LEDYBA,2,species,pending,pending,pending,false,false,false,pending,pending
166,LEDIAN,2,species,pending,pending,pending,false,false,false,pending,pending
167,SPINARAK,2,species,pending,pending,pending,false,false,false,pending,pending
168,ARIADOS,2,species,pending,pending,pending,false,false,false,pending,pending
169,CROBAT,2,species,pending,pending,pending,false,false,false,pending,pending
170,CHINCHOU,2,species,pending,pending,pending,false,false,false,pending,pending
171,LANTURN,2,species,pending,pending,pending,false,false,false,pending,pending
172,PICHU,2,baby,pending,pending,pending,false,false,false,pending,pending
173,CLEFFA,2,baby,pending,pending,pending,false,false,false,pending,pending
174,IGGLYBUFF,2,baby,pending,pending,pending,false,false,false,pending,pending
175,TOGEPI,2,baby,pending,pending,pending,false,false,false,pending,pending
176,TOGETIC,2,species,pending,pending,pending,false,false,false,pending,pending
177,NATU,2,species,pending,pending,pending,false,false,false,pending,pending
178,XATU,2,species,pending,pending,pending,false,false,false,pending,pending
179,MAREEP,2,species,pending,pending,pending,false,false,false,pending,pending
180,FLAAFFY,2,species,pending,pending,pending,false,false,false,pending,pending
181,AMPHAROS,2,species,pending,pending,pending,false,false,false,pending,pending
182,BELLOSSOM,2,species,pending,pending,pending,false,false,false,pending,pending
183,MARILL,2,species,pending,pending,pending,false,false,false,pending,pending
184,AZUMARILL,2,species,pending,pending,pending,false,false,false,pending,pending
185,SUDOWOODO,2,species,pending,pending,pending,false,false,false,pending,pending
186,POLITOED,2,species,pending,pending,pending,false,false,false,pending,pending
187,HOPPIP,2,species,pending,pending,pending,false,false,false,pending,pending
188,SKIPLOOM,2,species,pending,pending,pending,false,false,false,pending,pending
189,JUMPLUFF,2,species,pending,pending,pending,false,false,false,pending,pending
190,AIPOM,2,species,pending,pending,pending,false,false,false,pending,pending
191,SUNKERN,2,species,pending,pending,pending,false,false,false,pending,pending
192,SUNFLORA,2,species,pending,pending,pending,false,false,false,pending,pending
193,YANMA,2,species,pending,pending,pending,false,false,false,pending,pending
194,WOOPER,2,species,pending,pending,pending,false,false,false,pending,pending
195,QUAGSIRE,2,species,pending,pending,pending,false,false,false,pending,pending
196,ESPEON,2,species,pending,pending,pending,false,false,false,pending,pending
197,UMBREON,2,species,pending,pending,pending,false,false,false,pending,pending
198,MURKROW,2,species,pending,pending,pending,false,false,false,pending,pending
199,SLOWKING,2,species,pending,pending,pending,false,false,false,pending,pending
200,MISDREAVUS,2,species,pending,pending,pending,false,false,false,pending,pending
201,UNOWN,2,species,pending,pending,pending,false,false,false,pending,pending
202,WOBBUFFET,2,species,pending,pending,pending,false,false,false,pending,pending
203,GIRAFARIG,2,species,pending,pending,pending,false,false,false,pending,pending
204,PINECO,2,species,pending,pending,pending,false,false,false,pending,pending
205,FORRETRESS,2,species,pending,pending,pending,false,false,false,pending,pending
206,DUNSPARCE,2,species,pending,pending,pending,false,false,false,pending,pending
207,GLIGAR,2,species,pending,pending,pending,false,false,false,pending,pending
208,STEELIX,2,species,pending,pending,pending,false,false,false,pending,pending
209,SNUBBULL,2,species,pending,pending,pending,false,false,false,pending,pending
210,GRANBULL,2,species,pending,pending,pending,false,false,false,pending,pending
211,QWILFISH,2,species,pending,pending,pending,false,false,false,pending,pending
212,SCIZOR,2,species,pending,pending,pending,false,false,false,pending,pending
213,SHUCKLE,2,species,pending,pending,pending,false,false,false,pending,pending
214,HERACROSS,2,species,pending,pending,pending,false,false,false,pending,pending
215,SNEASEL,2,species,pending,pending,pending,false,false,false,pending,pending
216,TEDDIURSA,2,species,pending,pending,pending,false,false,false,pending,pending
217,URSARING,2,species,pending,pending,pending,false,false,false,pending,pending
218,SLUGMA,2,species,pending,pending,pending,false,false,false,pending,pending
219,MAGCARGO,2,species,pending,pending,pending,false,false,false,pending,pending
220,SWINUB,2,species,pending,pending,pending,false,false,false,pending,pending
221,PILOSWINE,2,species,pending,pending,pending,false,false,false,pending,pending
222,CORSOLA,2,species,pending,pending,pending,false,false,false,pending,pending
223,REMORAID,2,species,pending,pending,pending,false,false,false,pending,pending
